ACCtrinom,SYNtri,grp,isTrinomial,notes,newTaxa,origFullText
Phaeoceros_pearsonii,Paraphymatoceros_pearsonii,horn,0,NA,NA,NA
Phaeoceros_pearsonii,Anthoceros_pearsonii,,0,,,
Phymatoceros_bulbiculosus,,horn,0,NA,NA,NA
Acaulon_mediterraneum,,moss,0,,,Acaulon mediterraneum Limpr.
Acaulon_rufescens,,moss,0,,,Acaulon rufescens A.Jaeger
Aculon_triquetrum,,moss,0,,,Aculon triquetrum (Spruce) Müll.Hal.
Aloina_ambigua,Aloina_aloides_ambigua,moss,0,,,Aloina ambigua (Bruch & Schimp.) Limpr. [=Aloina aloides var. ambigua]
Aloina_ambigua,Aloina_aloides,moss,0,,,
Aloina_bifrons,,moss,0,,,Aloina bifrons (DeNot.) Delgadillo
Aloina_bifrons,Aloina_pilifera,moss,0,NA,NA,NA
Aloina_bifrons,Alonia_pilifera,moss,0,NA,NA,NA
Aloina_rigida,,moss,0,originally deleted but recently confiemed for Henry Coe SP,,Aloina rigida (Hedw.) Limpr. [originally deleted but recently confiemed for Henry Coe SP] 
Aloina_rigida,Alonia_rigida,moss,0,NA,NA,NA
Alsia_californica,Neckera_californica,moss,0,,,Alsia californica (Hook. & Arn.) Sull. [alt. placement as Neckera californica]
Alsia_californica,Neckera_californica,moss,0,NA,NA,NA
Amblyodon_dealbatus,,moss,0,,new to CA since 2004,Amblyodon dealbatus (Sw. ex Hedw.) Bruch & Schimp.
Amblystegium_serpens,Amblystegium_juratzkanum,moss,0,,,Amblystegium serpens (Hedw.) Schimp.
Amblystegium_serpens,Amblystegium_juratzkanum,moss,0,NA,NA,NA
Amblystegium_serpens,Amblystegium_juratzphanum,moss,0,NA,NA,NA
Amblystegium_serpens,Amblystegium_kochii,moss,0,NA,NA,NA
Amblystegium_serpens,Hypnum_serpens,moss,0,NA,NA,NA
Amphidium_californicum,,moss,0,,,Amphidium californicum (Hampe ex Müll.Hal.) Broth.
Amphidium_californicum,Zygodon_californicus,moss,0,NA,NA,NA
Amphidium_lapponicum,,moss,0,,,Amphidium lapponicum (Hedw.) Schimp. 
Amphidium_lapponicum,Amphidum_lapponicum,moss,0,NA,NA,NA
Amphidium_lapponicum,Amphoridium_lapponicum,moss,0,NA,NA,NA
Amphidium_lapponicum,Zygodon_lapponicus,moss,0,NA,NA,NA
Amphidium_mougeotii,,moss,0,,,Amphidium mougeotii (Bruch & Schimp.) Schimp. 
Amphidium_mougeotii,Amphidium_mourgeotii,moss,0,NA,NA,NA
Amphidium_mougeotii,Amphoridium_mougeotii,moss,0,NA,NA,NA
Amphidium_mougeotii,Zygodon_mongeotii,moss,0,NA,NA,NA
Amphidium_mougeotii,Zygodon_mougeotii,moss,0,NA,NA,NA
Anacolia_baueri,,moss,0,,,Anacolia baueri (Hampe) Paris
Anacolia_menziesii,,moss,0,,,Anacolia menziesii (Turner) Paris
Anacolia_menziesii,Anacolia_baucri,moss,0,NA,NA,NA
Anacolia_menziesii,Anacolia_baueri,moss,0,NA,NA,NA
Anacolia_menziesii,Anacolia_menziezii,moss,0,NA,NA,NA
Anacolia_menziesii,Bartramia_menziesii,moss,0,NA,NA,NA
Andreaea_alpestris,,moss,0,,,Andreaea alpestris (Thed.) Schimp.
Andreaea_blyttii,,moss,0,,,Andreaea blyttii Schimp.
Andreaea_heinemannii,,moss,0,,,Andreaea heinemannii Hampe & Müll.Hal.
Andreaea_heinemannii,Andreaea_heinmannii,moss,0,NA,NA,NA
Andreaea_nivalis,,moss,0,,,Andreaea nivalis Hook.
Andreaea_nivalis,Andreaea_macounii,moss,0,NA,NA,NA
Andreaea_rothii,,moss,0,,,Andreaea rothii F.Weber & D.Mohr
Andreaea_rothii,Andreaea_crassinervia,moss,0,NA,NA,NA
Andreaea_rupestris,,moss,0,,,Andreaea rupestris Hedw.
Andreaea_rupestris,Andreaea_alpestris,moss,0,NA,NA,NA
Andreaea_rupestris,Andreaea_papillosa,moss,0,NA,NA,NA
Andreaea_rupestris,Andreaea_petrophila,moss,0,NA,NA,NA
Andreaea_rupestris,Andreaea_ruspestris,moss,0,NA,NA,NA
Andreaea_schofieldiana,,moss,0,,,Andreaea schofieldiana B.M.Murray 
Anoectangium_handelii,,moss,0,,new to CA since 2004,xAnoectangium handelii Schiffn.
Anomobryum_concinnatum,,moss,0,,new to CA since 2004,xAnomobryum concinnatum Spruce
Anomobryum_concinnatum,Anomobryum_leptostomoides,moss,0,NA,NA,NA
Anomobryum_concinnatum,Bryum_concinnatum,moss,0,NA,NA,NA
Anomobryum_julaceum,,moss,0,,,"Anomobryum julaceum (Schrad. ex G.Gärtner, B.Mey. & Scherb.) Schimp. "
Anomobryum_julaceum,Anomobryum_filifome,moss,0,NA,NA,NA
Anomobryum_julaceum,Anomobryum_filiforme,moss,0,NA,NA,NA
Anomobryum_julaceum,Anomobryum_filiformis,moss,0,NA,NA,NA
Anomobryum_julaceum,Anomobryum_juliaceum,moss,0,NA,NA,NA
Anomobryum_julaceum,Bryum_julaceum,moss,0,NA,NA,NA
Anomobryum_julaceum,Pohlia_filiformis,moss,0,NA,NA,NA
Antitrichia_californica,,moss,0,,,Antitrichia californica Sull. ex Lesq. 
Antitrichia_californica,Antitrichia_califorinica,moss,0,NA,NA,NA
Antitrichia_californica,Antitrichia_california,moss,0,NA,NA,NA
Antitrichia_curtipendula,Antitrichia_gigantea,moss,0,,,Antitrichia curtipendula (Hedw.) Brid.
Antitrichia_curtipendula,Antitrichia_curtipendulum,moss,0,NA,NA,NA
Antitrichia_curtipendula,Antitrichia_gigantea,moss,0,NA,NA,NA
Archidium_crassicostatum,Archidium_alternifolium,moss,0,,,Archidium alternifolium (Dicks. ex Hedw.) Mitt. [Calif. plants replaced by A. crassicostatum]
Archidium_crassicostatum,Archidium_donnellii,moss,0,,,Archidium donnellii Austin [Calif. plants replaced by A. crassicostatum]
Archidium_crassicostatum,,moss,0,,new to CA since 2004,"Archidium crassicostatum D.R.Toren, Kellman & Shevock"
Archidium_crassicostatum,Archidium_altenifolium,moss,0,NA,NA,NA
Archidium_crassicostatum,Archidium_alternifolium,moss,0,NA,NA,NA
Archidium_crassicostatum,Archidium_longifolium,moss,0,NA,NA,NA
Archidium_crassicostatum,Pleuridium_alternifolium,moss,0,NA,NA,NA
Archidium_crassicostatum,Archidium_donnellii,moss,0,NA,NA,NA
Arctoa_fulvella,,moss,0,,,Arctoa fulvella (Dicks.) Bruch & Schimp. 
Arctoa_fulvella,Dicranum_fulvellum,moss,0,NA,NA,NA
